Asset,"Reported Issues",Added
545219,"screen burn severe","2019-12-05 14:49:35"
545217,"screen burn severe","2019-12-05 14:53:48"
545215,"SCREEN SCRATCH","2019-12-05 14:54:17"
275461,"Broken Wifi antennas","2019-12-05 15:02:49"
545214,"DENT CASE","2019-12-05 15:03:59"
545210,"PRESSURE MARK","2019-12-05 15:15:56"
545290,"DENT CASE","2019-12-05 15:21:08"
545299,"DENT CASE","2019-12-05 15:23:01"
545295,"SCREEN SCRATCH","2019-12-05 15:27:46"
545289,"SCREEN BURN","2019-12-05 15:34:12"
545349,"PRESSURE MARK","2019-12-05 16:07:23"
545342,"PRESSURE MARK","2019-12-05 16:07:47"
545393,"PRESSURE MARK","2019-12-05 16:08:03"
545353,"PRESSURE MARK","2019-12-05 16:57:04"
545379,"PRESSURE MARK","2019-12-05 16:57:26"
545376,"BAD BATTERY","2019-12-05 18:51:29"
545381,"BAD BATTERY","2019-12-05 18:51:57"
545396,"BAD BATTERY","2019-12-05 18:52:22"
545389,"PRESSURA MARK","2019-12-05 19:00:43"
545339,"defective touch screen","2019-12-05 19:20:00"
545242,"Pressure Mark","2019-12-05 19:35:08"
545370,"Pressure Mark","2019-12-06 14:31:07"
294796,"cracked case severe","2019-12-06 14:37:30"
299416,"case scratch severe","2019-12-06 14:43:03"
294800,"case dent severe","2019-12-06 14:44:35"
293979,"case scratch severe","2019-12-06 14:46:41"
296325,"case dent severe","2019-12-06 14:49:41"
282217,"case scratch minor","2019-12-06 14:52:05"
294640,"case scratch severe","2019-12-06 14:54:11"
296333,"case dent severe","2019-12-06 14:55:40"
296368,"case dent severe","2019-12-06 14:56:52"
297087,"case dent minor","2019-12-06 14:58:24"
296350,"case dent minor","2019-12-06 14:59:40"
296321,"case scratch severe","2019-12-06 15:05:37"
294582,"case dent severe","2019-12-06 15:06:43"
296373,"case dent severe","2019-12-06 15:12:41"
282523,"case dent severe","2019-12-06 15:15:15"
296754,"case dent severe","2019-12-06 15:17:14"
296309,"case dent severe","2019-12-06 15:18:50"
296320,"case scratch severe","2019-12-06 15:23:23"
296305,"case scratch minor","2019-12-06 15:26:35"
296765,"case scratch severe","2019-12-06 15:27:58"
294817,"case cracked severe ","2019-12-06 15:32:02"
296774,"case scratch minor","2019-12-06 15:33:29"
545223,"Bad Battery","2019-12-06 15:34:43"
